filename,flag,start,duration,word,tokenized,count_tokens,sp_id_and_ch_id,filename_path
LSP-6870-0057_1,1,0.42,0.54,PROVES,"['pro', 'v', 'es']",3,-6870-0057,./train-other-500/3641/6870/3641-6870-0057.flac
LSP-135887-0023_1,1,5.83,0.6,THEREFORE,"['there', 'fo', 're']",3,-135887-0023,./train-clean-100/1235/135887/1235-135887-0023.flac
LSP-129443-0047_1,1,10.77,0.54,DIRE,"['d', 'i', 're']",3,-129443-0047,./train-clean-360/1811/129443/1811-129443-0047.flac
LSP-129443-0079_1,1,13.31,0.61,PROSPER,"['pro', 's', 'per']",3,-129443-0079,./train-clean-360/1811/129443/1811-129443-0079.flac
LSP-126842-0018_1,1,9.96,0.68,LOTS,"['lo', 't', 's']",3,-126842-0018,./train-clean-360/242/126842/242-126842-0018.flac
LSP-135842-0039_1,1,5.43,0.53,SCARE,"['s', 'c', 'are']",3,-135842-0039,./train-clean-100/1363/135842/1363-135842-0039.flac
LSP-362-0031_1,1,7.55,0.67,RESIDED,"['res', 'id', 'ed']",3,-362-0031,./train-clean-360/17/362/17-362-0031.flac
LSP-10992-0074_1,1,14.09,0.56,MOORS,"['mo', 'or', 's']",3,-10992-0074,./train-other-500/6126/10992/6126-10992-0074.flac
LSP-73296-0004_1,1,14.6,0.64,UNSAFE,"['un', 'sa', 'fe']",3,-73296-0004,./train-clean-360/6696/73296/6696-73296-0004.flac
LSP-132019-0010_1,1,3.76,0.57,BETS,"['be', 't', 's']",3,-132019-0010,./train-other-500/331/132019/331-132019-0010.flac
LSP-58843-0033_1,1,3.15,0.56,DESTON,"['d', 'est', 'on']",3,-58843-0033,./train-clean-360/6104/58843/6104-58843-0033.flac
LSP-160593-0026_1,1,1.09,0.56,AJAR,"['a', 'j', 'ar']",3,-160593-0026,./train-clean-360/240/160593/240-160593-0026.flac
LSP-166439-0116_1,1,7.93,0.5,TEARING,"['te', 'ar', 'ing']",3,-166439-0116,./train-other-500/3172/166439/3172-166439-0116.flac
LSP-285142-0030_1,1,14.28,0.71,HINDS,"['h', 'ind', 's']",3,-285142-0030,./train-other-500/8466/285142/8466-285142-0030.flac
LSP-157236-0016_1,1,2.52,0.51,COUGH,"['c', 'ou', 'gh']",3,-157236-0016,./train-clean-360/2577/157236/2577-157236-0016.flac
LSP-94126-0017_1,1,2.74,0.63,BOWER,"['b', 'ow', 'er']",3,-94126-0017,./train-other-500/7357/94126/7357-94126-0017.flac
LSP-275211-0041_1,1,4.06,0.5,AJAR,"['a', 'j', 'ar']",3,-275211-0041,./train-other-500/8215/275211/8215-275211-0041.flac
LSP-68344-0025_1,1,4.71,0.52,LOYAL,"['lo', 'y', 'al']",3,-68344-0025,./train-clean-360/3171/68344/3171-68344-0025.flac
LSP-121080-0026_1,1,4.72,0.62,CEMENTED,"['ce', 'ment', 'ed']",3,-121080-0026,./train-clean-360/54/121080/54-121080-0026.flac
LSP-291968-0001_1,1,3.61,0.61,PLAID,"['pl', 'a', 'id']",3,-291968-0001,./train-other-500/1367/291968/1367-291968-0001.flac
LSP-66279-0014_1,1,5.41,0.52,GOTHS,"['go', 'th', 's']",3,-66279-0014,./train-other-500/6211/66279/6211-66279-0014.flac
LSP-114468-0046_1,1,11.24,0.56,VETERAN,"['ve', 'ter', 'an']",3,-114468-0046,./train-clean-360/7832/114468/7832-114468-0046.flac
LSP-254948-0006_1,1,8.11,0.63,ANTILLES,"['ant', 'ill', 'es']",3,-254948-0006,./train-clean-360/7926/254948/7926-254948-0006.flac
LSP-283242-0041_1,1,9.98,0.51,PEONY,"['pe', 'on', 'y']",3,-283242-0041,./train-clean-360/8855/283242/8855-283242-0041.flac
LSP-1185-0026_1,1,1.71,0.71,EDISON,"['ed', 'is', 'on']",3,-1185-0026,./train-other-500/5023/1185/5023-1185-0026.flac
LSP-77766-0042_1,1,3.99,0.68,RATES,"['r', 'at', 'es']",3,-77766-0042,./train-other-500/6459/77766/6459-77766-0042.flac
LSP-105654-0036_1,1,1.14,0.54,WARDS,"['w', 'ard', 's']",3,-105654-0036,./train-other-500/6807/105654/6807-105654-0036.flac
LSP-69032-0011_1,1,8.66,0.55,POURING,"['p', 'our', 'ing']",3,-69032-0011,./train-other-500/4191/69032/4191-69032-0011.flac
LSP-78253-0047_1,1,3.17,0.61,FESTA,"['f', 'est', 'a']",3,-78253-0047,./train-other-500/2104/78253/2104-78253-0047.flac
LSP-246956-0024_1,1,5.6,0.57,APPROVE,"['ap', 'pro', 've']",3,-246956-0024,./train-clean-100/7278/246956/7278-246956-0024.flac
LSP-138096-0006_1,1,3.33,0.61,WORTHY,"['wor', 'th', 'y']",3,-138096-0006,./train-other-500/1291/138096/1291-138096-0006.flac
LSP-163322-0040_1,1,1.23,0.52,ROWING,"['ro', 'w', 'ing']",3,-163322-0040,./train-clean-360/2785/163322/2785-163322-0040.flac
LSP-123047-0002_1,1,4.58,0.66,CARTER,"['c', 'ar', 'ter']",3,-123047-0002,./train-clean-360/362/123047/362-123047-0002.flac
LSP-80690-0003_1,1,5.43,0.75,TRESS,"['t', 'res', 's']",3,-80690-0003,./train-clean-360/5133/80690/5133-80690-0003.flac
LSP-1068-0009_1,1,8.12,0.66,PROBING,"['pro', 'b', 'ing']",3,-1068-0009,./train-other-500/1230/1068/1230-1068-0009.flac
LSP-59777-0039_1,1,0.46,0.5,FILLS,"['f', 'ill', 's']",3,-59777-0039,./train-other-500/6111/59777/6111-59777-0039.flac
LSP-6523-0008_1,1,13.04,0.56,LOADS,"['lo', 'ad', 's']",3,-6523-0008,./train-other-500/4428/6523/4428-6523-0008.flac
LSP-277898-0032_1,1,9.49,0.54,IMPART,"['im', 'p', 'art']",3,-277898-0032,./train-clean-360/6965/277898/6965-277898-0032.flac
LSP-133094-0020_1,1,11.25,0.54,SLIP,"['s', 'li', 'p']",3,-133094-0020,./train-other-500/228/133094/228-133094-0020.flac
LSP-103481-0019_1,1,10.66,0.52,GRIM,"['g', 'r', 'im']",3,-103481-0019,./train-clean-360/1066/103481/1066-103481-0019.flac
LSP-284028-0001_1,1,13.46,0.5,SUMS,"['su', 'm', 's']",3,-284028-0001,./train-other-500/8033/284028/8033-284028-0001.flac
LSP-9166-0122_1,1,10.46,0.55,HERETIC,"['her', 'et', 'ic']",3,-9166-0122,./train-other-500/4545/9166/4545-9166-0122.flac
LSP-39970-0088_1,1,12.84,0.57,EXPERT,"['ex', 'per', 't']",3,-39970-0088,./train-clean-360/7949/39970/7949-39970-0088.flac
LSP-139308-0050_1,1,11.43,0.5,HOWARD,"['h', 'ow', 'ard']",3,-139308-0050,./train-clean-360/1052/139308/1052-139308-0050.flac
LSP-142282-0085_1,1,12.66,0.51,POORLY,"['po', 'or', 'ly']",3,-142282-0085,./train-other-500/1680/142282/1680-142282-0085.flac
LSP-283138-0043_1,1,10.28,0.58,SNARE,"['s', 'n', 'are']",3,-283138-0043,./train-clean-360/6620/283138/6620-283138-0043.flac
LSP-110522-0020_1,1,5.58,0.51,HONOUR,"['h', 'on', 'our']",3,-110522-0020,./train-clean-360/7752/110522/7752-110522-0020.flac
LSP-137618-0040_1,1,11.6,0.57,GALIS,"['g', 'al', 'is']",3,-137618-0040,./train-clean-360/1789/137618/1789-137618-0040.flac
LSP-130137-0008_1,1,8.97,0.7,FASTEST,"['f', 'ast', 'est']",3,-130137-0008,./train-other-500/4021/130137/4021-130137-0008.flac
LSP-154885-0034_1,1,6.5,0.58,MOSAIC,"['mo', 'sa', 'ic']",3,-154885-0034,./train-other-500/2356/154885/2356-154885-0034.flac
LSP-6171-0006_1,1,7.5,0.56,BOUNDING,"['b', 'ound', 'ing']",3,-6171-0006,./train-clean-360/4519/6171/4519-6171-0006.flac
LSP-68359-0011_1,1,10.83,0.52,ENTERS,"['ent', 'er', 's']",3,-68359-0011,./train-clean-360/6308/68359/6308-68359-0011.flac
LSP-158083-0084_1,1,7.43,0.5,DANA,"['d', 'an', 'a']",3,-158083-0084,./train-clean-100/3259/158083/3259-158083-0084.flac
LSP-127703-0018_1,1,3.03,0.74,DOMES,"['do', 'm', 'es']",3,-127703-0018,./train-clean-360/598/127703/598-127703-0018.flac
LSP-170440-0005_1,1,15.02,0.61,ADHERED,"['ad', 'her', 'ed']",3,-170440-0005,./train-clean-360/2827/170440/2827-170440-0005.flac
LSP-127773-0039_1,1,3.22,0.51,PROTECT,"['pro', 'te', 'ct']",3,-127773-0039,./train-other-500/2625/127773/2625-127773-0039.flac
LSP-180289-0044_1,1,11.53,0.5,BAH,"['b', 'a', 'h']",3,-180289-0044,./train-other-500/4020/180289/4020-180289-0044.flac
LSP-132848-0001_1,1,4.93,0.53,CHEER,"['c', 'he', 'er']",3,-132848-0001,./train-clean-360/1639/132848/1639-132848-0001.flac
LSP-54186-0013_1,1,12.06,0.51,BASS,"['b', 'as', 's']",3,-54186-0013,./train-other-500/2587/54186/2587-54186-0013.flac
LSP-142848-0011_1,1,11.6,0.51,DEARER,"['de', 'ar', 'er']",3,-142848-0011,./train-clean-360/1472/142848/1472-142848-0011.flac
LSP-144132-0043_1,1,1.02,0.57,THEREFORE,"['there', 'fo', 're']",3,-144132-0043,./train-other-500/4225/144132/4225-144132-0043.flac
LSP-245690-0001_1,1,1.22,0.56,RESIDE,"['res', 'id', 'e']",3,-245690-0001,./train-other-500/4915/245690/4915-245690-0001.flac
